institution_id,inspection_date,institution_type,status,infrastructure_score,faculty_score,student_performance_score,compliance_level,overall_score
1,2024-12-14 21:53:47.290564,Pharmacy,Completed,0.9278686294528932,0.6641850457084906,0.71912305990301,Fully Compliant,0.7911187244012932
2,2024-04-12 21:53:47.290564,Pharmacy,Completed,0.6135897785117574,0.6281967782572578,0.9241711172423293,Partially Compliant,0.6499371342220325
3,2024-06-29 21:53:47.290564,Engineering,Completed,0.9185205626214701,0.6742586819604972,0.9973413402944127,Fully Compliant,0.5172016042267291
4,2024-12-10 21:53:47.290564,Management,Completed,0.6396380442272052,0.8656877539955873,0.7496286696068089,Fully Compliant,0.8174648650588718
5,2025-01-14 21:53:47.290564,Management,Completed,0.8214409550293538,0.9526762447374032,0.887484292626503,Fully Compliant,0.9294661746623638
6,2024-09-19 21:53:47.290564,Applied Arts and Crafts,Scheduled,0.8470752867549155,0.9256502742364647,0.5961646146020052,Fully Compliant,0.6723848834499371
7,2025-03-06 21:53:47.290564,Management,In Progress,0.7563273765725265,0.8740537239497936,0.5834463744683747,Partially Compliant,0.6951477736063852
8,2024-12-14 21:53:47.290564,Architecture,In Progress,0.6526553383483656,0.644172745364441,0.6416222325967361,Partially Compliant,0.9455108414836058
9,2024-11-25 21:53:47.290564,Management,Scheduled,0.6063221881855481,0.7156749785183799,0.8035043576041895,Non-Compliant,0.906804406683678
10,2024-08-24 21:53:47.290564,Applied Arts and Crafts,Scheduled,0.5165946772812131,0.7239227501289875,0.8093150135530593,Fully Compliant,0.8574764117758886
11,2024-04-30 21:53:47.290564,Management,In Progress,0.6519732006203619,0.6999827785590484,0.5891436607896705,Partially Compliant,0.6243985318765739
12,2024-12-29 21:53:47.290564,Architecture,In Progress,0.8265813952656416,0.8060022638838893,0.4799259544819772,Partially Compliant,0.9551083274833223
13,2024-12-17 21:53:47.290564,Engineering,In Progress,0.9691524092242414,0.814221525951869,0.7794377538793051,Partially Compliant,0.5772078787696064
14,2024-04-01 21:53:47.290564,Applied Arts and Crafts,In Progress,0.935602241131526,0.7427543900684441,0.47699551731325873,Fully Compliant,0.8133852597086109
15,2024-10-26 21:53:47.290564,Engineering,In Progress,0.8830323882676513,0.7415156634945744,0.747095504937598,Non-Compliant,0.5144005902732594
